BGC_ID,masked_token,Num_Replacements=0,Num_Replacements=1,Num_Replacements=2,Num_Replacements=3,Num_Replacements=4,Num_Replacements=5,Num_Replacements=6,Num_Replacements=7
BGC0000025,Epimerase,0.679499214887619,0.26075063496828077,0.16065535824745894,0.15507939960807562,0.02545443212147802,0.04466846392315347,0.009268986487950315,0.0006929691157893103
BGC0000099,Acyl_transf_1,0.3790329169481993,0.2118410114198923,0.055556845478713514,0.13751973160542547,0.05210345171508379,0.05893240258446895,0.002896054438315332,0.0003732602735453838
BGC0000107,PP-binding,0.11847791066393257,0.10856459463248029,0.09172434596111997,0.02307996041054139,0.004423137867706828,0.0020781077426363483,0.00016616758730378934,5.64941550928566e-05
BGC0000131,Acyl-CoA_dh_M,0.9515798151493072,0.952764093875885,0.9064100325107575,0.6923227742930976,0.34424732325489915,0.456411080806447,0.4321968818181873,0.0001419100967292669
BGC0000249,Inositol_P,0.015509053342975676,0.005364560236921534,0.002332273267529672,0.0021128647910018117,0.0059231454773453155,0.0016004197683400889,0.0008230755482287577,0.00012737229852461952
BGC0000308,AMP-binding,0.9487704277038574,0.7382170215249062,0.4055454004090279,0.3676458144560456,0.17043103995965794,0.021147949814621824,0.03922917700074322,9.611276068426378e-05
BGC0000375,PP-binding,0.7449666440486908,0.6253277108073234,0.3145635769236833,0.1663939272344578,0.11262668809765444,0.025317075833572743,0.0024736504402198987,0.0001174762235237381
BGC0000500,DUF4135,0.8847047090530396,0.639944439381361,0.4008575593895557,0.30651075378991666,0.04831023229532292,0.05164748605475324,0.0006878358633059633,3.278084055757802e-05
BGC0000504,ABC_membrane,0.8599426567554473,0.9062857389450073,0.6320073142647743,0.5476477339252597,0.20046080278480077,0.17251120449454901,0.003196727890008333,0.001490808403286792
BGC0000517,Peptidase_C39,0.678978618979454,0.14487075614451897,0.23295775493825205,0.022162041145861622,0.06319511589000619,0.06305318101103978,0.00133712898220395,4.747972747694007e-05
BGC0000518,Pro_Al_protease,0.2005589426960796,0.20031549665436615,0.31116370092786383,0.26423305725547835,0.2010050964634651,4.084273119451254e-05,1.7713495315874184e-05,2.7133180145355595e-05
BGC0000531,Lant_dehydr_C,0.8300821587443352,0.6260334603488446,0.5906089216470718,0.4819582831478101,0.2256656989135081,0.08955062875684235,0.08415185127118079,3.4941315780206986e-05
