BGC_ID,masked_token,Num_Replacements=0,Num_Replacements=1,Num_Replacements=2,Num_Replacements=3,Num_Replacements=4,Num_Replacements=5,Num_Replacements=6,Num_Replacements=7,Num_Replacements=8,Num_Replacements=9,Num_Replacements=10
BGC0000046,ketoacyl-synt,0.9695715248584748,0.9786581754684448,0.9204483985900879,0.7669074970530346,0.6787282482953743,0.4783351978985593,0.46309614605755767,0.16140704414934817,0.19903501021875059,0.01093172446474,3.0199692600765826e-05
BGC0000170,KR,0.5620164334774017,0.6224540784955025,0.46826604902744295,0.46394018009305,0.318441054597497,0.12795675105880946,0.2076478401198983,0.13700713419657404,0.021880548248632437,0.015515885088779147,3.718867913704571e-06
BGC0000214,DUF1205,0.12288033869117498,0.11811197733331938,0.06221621175354812,0.007151773907918368,0.01603526024487678,0.0004461070018123792,0.001074686755217158,0.0007932447922335939,1.5484150237909945e-05,2.050563434607966e-06,1.0744206858248617e-05
BGC0000234,ketoacyl-synt,0.9934971332550049,0.9874370694160461,0.6265924267470837,0.8512668807990849,0.5986318739879973,0.6346875952902338,0.32203803134506365,0.260527865258689,0.47167043581209783,0.09759335373436642,0.00010426383050046728
BGC0000387,UPF0225,0.9998088657855988,0.9949049293994904,0.9907943844795227,0.775158895039931,0.6979089941877781,0.8366729291155934,0.6735570209404613,0.37979143483545386,0.06434428686330876,0.19662155576706936,0.0003218854987665054
BGC0000480,PatG_C,0.7225529856979847,0.7539673864841461,0.5955156207084655,0.4807339249178767,0.5625899719925925,0.3017116991979492,0.1106463498316316,0.13283733996302088,0.03448381308365249,8.583424872243839e-05,1.172677957300694e-06
BGC0000483,PatG_C,0.6899736613035202,0.6061297498643399,0.4916114192456007,0.680165696144104,0.2711627580870868,0.2611579990556493,0.10406277438542019,0.11002919983922368,0.05076077609299432,0.08098757409138954,7.005612914312565e-06
BGC0000509,ABC_tran,0.9992284536361694,0.8987869869466522,0.7053948840664817,0.8910431926138699,0.7128176629135851,0.3800900674890727,0.21249567001941613,0.21518423000525216,0.30468441456905565,0.17950664531490473,0.007337306650879327
BGC0000514,ABC_tran,0.9632263302803039,0.6971441014204174,0.6783973351120949,0.41658060177578593,0.7173398900777102,0.506629940692801,0.31390444699209186,0.32953945952758656,0.11955537409194221,0.01165807141096593,0.0016856856091010286
BGC0000516,ABC_tran,0.9985701501369476,0.9938875079154968,0.9936246633529663,0.918500903248787,0.6476010119135026,0.7687682952557224,0.7485866097558755,0.45392561697872225,0.3488956028442772,0.38701063406015235,0.00377394439052523
BGC0000539,DUF4135,0.8759986363351345,0.7602689103150624,0.48524890351109207,0.7360212113127161,0.31323341564275325,0.26340068749923373,0.11399218440851584,0.06485635849015807,0.0009972471827381924,0.08493029419263902,9.600613798544515e-06
BGC0000540,Lant_dehydr_N,0.989473295211792,0.9909686505794525,0.8104459084499467,0.9696240842342376,0.5733398491065145,0.5753009221892285,0.3646496416152786,0.33863397634503656,0.3117238243232805,0.04036628394819406,1.8108361885182943e-05
BGC0000548,FtsX,0.9994394838809967,0.9988534390926361,0.9913191378116608,0.8928152373526246,0.6204627506383986,0.6113415567572247,0.6918933966107034,0.6249662572141688,0.19493205034053246,7.921335692149257e-05,2.1583342638287206e-05
BGC0000557,Trans_reg_C,0.9102867364883422,0.8271959692239761,0.5230589965183754,0.5030272646690719,0.40427283193857877,0.3253730186549092,0.16161858429901202,0.059025714516128855,0.005103266684182017,0.003060868211363754,0.0009119911027369087
BGC0000586,Peptidase_C39,0.9839614391326904,0.9240731298923492,0.8829823851585388,0.7867132306098938,0.7378606036305427,0.34771973721617544,0.2860586964932736,0.08814597952070927,0.010655328854375057,0.0045256543925042084,8.951517893773798e-06
BGC0000607,IstB_IS21,0.40801769942045213,0.28243063871050256,0.2060731852427125,0.22929141209460796,0.24421217775670812,0.09790544608840719,0.04247301489813253,0.003999085415625814,0.0034762151131872087,0.026690602809685514,0.0007133846131182509
BGC0000634,Amino_oxidase,0.6781861647963524,0.6539140160282841,0.6851370465010405,0.46883129119232764,0.3146041031461209,0.23987081921750358,0.25963297903050486,0.09707172295456985,0.07555479433322035,0.01602220819258946,0.0006068149355996866
