BGC_ID,masked_token,Num_Replacements=0,Num_Replacements=1,Num_Replacements=2,Num_Replacements=3,Num_Replacements=4,Num_Replacements=5,Num_Replacements=6,Num_Replacements=7,Num_Replacements=8
BGC0000037,PS-DH,0.13146417057141663,0.10918262785999104,0.04172853413037956,0.02116234622662887,0.05670556655531982,0.005008251577964984,0.005693314365064017,0.0023902929327192625,6.599380794369836e-06
BGC0000156,Ketoacyl-synt_C,0.9383271694183349,0.8506520450115204,0.4913672491908073,0.3647401529829949,0.4761602862738073,0.13087969064745267,0.12324683930610965,0.009851552543160835,1.5119015684389448e-05
BGC0000218,ketoacyl-synt,0.5815832138061523,0.7230587244033814,0.7808462858200074,0.6134190171709634,0.5025280498889628,0.14044955658861227,0.2560986782414574,0.0005643007452974302,0.0007200033565042341
BGC0000255,HMG_CoA_synt_C,0.9515654921531678,0.8919977912450122,0.8102993371600917,0.6816885097544528,0.6948391470009888,0.3935472799835714,0.29252033850727927,0.00015103321704721396,4.079360928855875e-05
BGC0000285,Chal_sti_synt_N,0.9193964898586273,0.8257269338006153,0.7621992311189771,0.7572198145957373,0.4606999031744351,0.5429058702078408,3.613315396933103e-05,0.0997177800181265,1.1296072539801472e-06
BGC0000293,Condensation,0.998290377855301,0.9641819596290588,0.8846119403839111,0.7247446030378342,0.40160382241010667,0.4521110126748681,0.08551477520959452,0.0052487427435846225,3.3981246869707606e-07
BGC0000465,Condensation,0.22234403416514398,0.2045401630923152,0.19905574617441743,0.18563615547463996,0.18786385552448337,0.053733380589162105,0.05299965033192677,0.0008120686068672,2.0658882735702376e-05
BGC0000497,ABC_tran,0.9783927023410797,0.991395103931427,0.9214009284973145,0.5285950520192273,0.646154081079294,0.6545667262471397,0.4547221475026163,0.16924028513094527,0.0057790515079432225
BGC0000515,Response_reg,0.9661685943603515,0.8910308003425598,0.844037739560008,0.7519183926284313,0.6285491649992764,0.450861905336933,0.42307396546381143,0.1020828536270983,0.0032291576135264678
BGC0000530,Peptidase_S8,0.7693638503551483,0.5889425121247769,0.2890653409587685,0.22281101811677217,0.2048815280715644,0.04541124943716568,0.0038612114898569417,0.007758764451136812,0.001526449237280758
BGC0000534,Peptidase_C39,0.7071789495646954,0.502207893691957,0.37449529189616443,0.2928224994800985,0.2321205987369467,0.07275664223897368,0.02461929626959191,0.0012020454962737403,3.843806958592211e-06
BGC0000544,Lant_dehydr_N,0.9401629567146301,0.8021016387268901,0.6821168497903273,0.7470364198568887,0.4223669639406637,0.2740477633074854,0.20206698814844554,0.004242256478151666,2.631291955421666e-05
BGC0000552,Peptidase_C39,0.9095011323690414,0.8650848567485809,0.46476209443886773,0.5297570362687111,0.35872952637400884,0.2657171443603886,0.11448245364628348,0.001146987300512592,7.018253907924432e-05
BGC0000555,ABC_membrane,0.9252031117677688,0.9190449595451355,0.6871690463274718,0.5031611843834071,0.4654115972109139,0.45972410440444944,0.19480726725544173,0.009423183674653047,8.87378928837279e-05
BGC0000556,Lant_dehydr_N,0.9781811654567718,0.9468812644481659,0.8570904102176428,0.8675012631341815,0.5908575133074919,0.23759319959269334,0.32846538503182127,0.015792379247710465,1.7257180083501965e-05
BGC0000582,TPR_12,0.8111265301704407,0.8065259993076325,0.7799578130245208,0.7434465110301971,0.6970033824443818,0.42009965269826355,0.6012515290873125,0.4521612353712953,0.003824612449115383
BGC0000587,ABC_membrane,0.9875023603439331,0.9387165546417237,0.8261166341602802,0.700018182117492,0.5036052679410205,0.47421705425731486,0.0017332088099784927,0.07571164381743642,0.0041793293985847415
