BGC_ID,masked_token,Num_Replacements=0,Num_Replacements=1,Num_Replacements=2,Num_Replacements=3,Num_Replacements=4,Num_Replacements=5,Num_Replacements=6,Num_Replacements=7,Num_Replacements=8,Num_Replacements=9
BGC0000217,ketoacyl-synt,0.7304631888866424,0.6563605513107177,0.5672911834088155,0.5265069415956873,0.4784983722518518,0.3276714025474462,0.37750047763402106,0.37423244659928373,0.2966260284929604,0.00022733211246492858
BGC0000277,Transposase_20,0.7576354026794434,0.7433701574802398,0.7636457413434983,0.4405958069247845,0.44094894436530013,0.45676114754751324,0.33159326200122335,0.1549935635980205,0.2517109466422198,0.0007450610472162112
BGC0000295,FhuF,0.9286562979221344,0.7145898256356304,0.7119124579141498,0.5202896715618408,0.4519710006197329,0.39104672332928203,0.19267042592438735,0.1147287156021024,0.06828020198763873,2.8150958050808526e-05
BGC0000412,AMP-binding,0.8755116522312164,0.8277481883764267,0.6174350751796738,0.5511595465242862,0.5408278681337834,0.17097787479870022,0.24150413860188563,0.15466388834414815,0.07496355003222561,8.259055903963031e-05
BGC0000477,PatG_C,0.863841462135315,0.8929972469806671,0.7685034021735191,0.7882348522543907,0.6853216489995247,0.178405388565443,0.060569639386527284,0.002547737230415237,3.048322206424814e-05,5.74752661606226e-06
BGC0000488,SpoIIM,0.9767743408679962,0.8580207804217934,0.5524032247252763,0.5875285842921585,0.06528723654391796,0.06975893355646576,0.0009708002700842717,0.02295386590518831,0.0014331028300116344,5.9715463564202764e-05
BGC0000508,Lant_dehydr_N,0.8988624900579453,0.7661155432462692,0.7115875083953143,0.6828974480716326,0.6758053188294753,0.48401034946028326,0.27555848481341627,0.20016215289614364,0.10313045412817914,4.482004556594088e-05
BGC0000535,ABC_tran,0.9650345206260681,0.8718276262283325,0.5781740883088787,0.665287834405899,0.25350999475922437,0.12749803597107529,0.08332034880295396,0.07075708191841841,0.01009053716516064,0.003974366505281069
BGC0000536,ABC_tran,0.9559248924255371,0.7824520219117403,0.8411474153399467,0.5832305237650871,0.2726999694481492,0.06607928806915879,0.21743470366345719,0.01971166683561023,0.01496906332904473,0.003248714603250846
BGC0000546,ABC_tran,0.9979809403419495,0.8883426725864411,0.850449845008552,0.8877139240503311,0.5528504122048616,0.34550291607156397,0.41952687648590653,0.11208531294105342,0.24236409855438978,0.00519029385286558
